Approach,Expansions,Goal Tests,New Nodes,Min Solutions,Time Elapsed,Problem Number,Solutions
breadth_first_search,43,56,180,6,0.034892469993792474,1,"Load(C2, P2, JFK) >> Load(C1, P1, SFO) >> Fly(P2, JFK, SFO) >> Unload(C2, P2, SFO) >> Fly(P1, SFO, JFK) >> Unload(C1, P1, JFK) >> "
breadth_first_tree_search,1458,1459,5960,6,0.9895016789960209,1,"Load(C2, P2, JFK) >> Load(C1, P1, SFO) >> Fly(P2, JFK, SFO) >> Unload(C2, P2, SFO) >> Fly(P1, SFO, JFK) >> Unload(C1, P1, JFK) >> "
depth_first_graph_search,12,13,48,12,0.007512834999943152,1,"Fly(P1, SFO, JFK) >> Fly(P2, JFK, SFO) >> Load(C1, P2, SFO) >> Fly(P2, SFO, JFK) >> Fly(P1, JFK, SFO) >> Unload(C1, P2, JFK) >> Fly(P2, JFK, SFO) >> Fly(P1, SFO, JFK) >> Load(C2, P1, JFK) >> Fly(P2, SFO, JFK) >> Fly(P1, JFK, SFO) >> Unload(C2, P1, SFO) >> "
depth_limited_search,101,271,414,50,0.0926392879919149,1,"Load(C2, P2, JFK) >> Load(C1, P1, SFO) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Unload(C2, P2, JFK) >> Load(C2, P2, JFK) >> Fly(P2, JFK, SFO) >> Unload(C2, P2, SFO) >> Fly(P1, SFO, JFK) >> Unload(C1, P1, JFK) >> "
uniform_cost_search,55,57,224,6,0.036207350000040606,1,"Load(C1, P1, SFO) >> Load(C2, P2, JFK) >> Fly(P1, SFO, JFK) >> Fly(P2, JFK, SFO) >> Unload(C1, P1, JFK) >> Unload(C2, P2, SFO) >> "
recursive_best_first_search,4229,4230,17029,6,2.742714719992364,1,"Load(C1, P1, SFO) >> Load(C2, P2, JFK) >> Fly(P2, JFK, SFO) >> Unload(C2, P2, SFO) >> Fly(P1, SFO, JFK) >> Unload(C1, P1, JFK) >> "
greedy_best_first_graph_search,7,9,28,6,0.0048054460203275084,1,"Load(C1, P1, SFO) >> Load(C2, P2, JFK) >> Fly(P1, SFO, JFK) >> Fly(P2, JFK, SFO) >> Unload(C1, P1, JFK) >> Unload(C2, P2, SFO) >> "
astar_search,55,57,224,6,0.0412262589961756,1,"Load(C1, P1, SFO) >> Load(C2, P2, JFK) >> Fly(P1, SFO, JFK) >> Fly(P2, JFK, SFO) >> Unload(C1, P1, JFK) >> Unload(C2, P2, SFO) >> "
astar_search,41,43,170,6,0.045083693985361606,1,"Load(C1, P1, SFO) >> Fly(P1, SFO, JFK) >> Unload(C1, P1, JFK) >> Load(C2, P2, JFK) >> Fly(P2, JFK, SFO) >> Unload(C2, P2, SFO) >> "
astar_search,55,57,224,6,3.007666228018934,1,"Load(C1, P1, SFO) >> Load(C2, P2, JFK) >> Fly(P1, SFO, JFK) >> Fly(P2, JFK, SFO) >> Unload(C1, P1, JFK) >> Unload(C2, P2, SFO) >> "
